ID,Match,Player,Team,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS,Playtime,PER
BALresults/0p01tg83.csvMusongela P.CAP,BALresults/0p01tg83.csv,Musongela P.,CAP,5,5,1,21:48,2,6,1,2,1,4,0,0,1,1,4,0,1,3,0,1,0,21.8,4.207247706
BALresults/0p01tg83.csvPare M.STA,BALresults/0p01tg83.csv,Pare M.,STA,5,2,0,7:01,2,2,1,1,1,1,0,0,2,0,2,2,0,0,0,0,0,7.016666667,31.16052257
BALresults/0p01tg83.csvFoster G. C.STA,BALresults/0p01tg83.csv,Foster G. C.,STA,4,4,7,27:04:00,2,6,2,6,0,0,0,0,12,0,4,3,3,4,0,1,0,27.06666667,7.803251232
BALresults/0p01tg83.csvTraore N.STA,BALresults/0p01tg83.csv,Traore N.,STA,2,0,0,5:00,1,3,1,1,0,2,0,0,-3,0,0,1,0,0,0,0,0,5,-1.9288
BALresults/0p01tg83.csvKeita M.STA,BALresults/0p01tg83.csv,Keita M.,STA,1,2,3,12:56,0,4,0,3,0,1,1,2,-3,1,1,1,1,0,0,0,0,17.33333333,11.91651923
BALresults/0p01tg83.csvKonate T.STA,BALresults/0p01tg83.csv,Konate T.,STA,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/0p01tg83.csvMofokeng L.CAP,BALresults/0p01tg83.csv,Mofokeng L.,CAP,0,0,0,0:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0
BALresults/0p01tg83.csvMthembu S.CAP,BALresults/0p01tg83.csv,Mthembu S.,CAP,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/0p01tg83.csvReid L.CAP,BALresults/0p01tg83.csv,Reid L.,CAP,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/0p01tg83.csvSelepe L.CAP,BALresults/0p01tg83.csv,Selepe L.,CAP,0,4,1,24:44:00,0,3,0,1,0,2,0,2,-5,1,3,2,1,0,0,1,0,24.73333333,-0.817318059
BALresults/0p01tg83.csvSibanyoni N.CAP,BALresults/0p01tg83.csv,Sibanyoni N.,CAP,0,0,0,3:28,0,0,0,0,0,0,0,0,-5,0,0,1,0,0,0,0,0,3.466666667,-4.954038462
BALresults/0p01tg83.csvSissouma B.STA,BALresults/0p01tg83.csv,Sissouma B.,STA,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/0p01tg83.csvWhitbread D.CAP,BALresults/0p01tg83.csv,Whitbread D.,CAP,0,0,0,2:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.866666667,0
BALresults/27ot27T5.csvCrawford C.DOU,BALresults/27ot27T5.csv,Crawford C.,DOU,21,4,4,36:08:00,8,22,5,13,3,9,2,2,11,1,3,3,2,4,2,2,0,36.13333333,14.63092251
BALresults/27ot27T5.csvBerthe S.STA,BALresults/27ot27T5.csv,Berthe S.,STA,17,6,2,27:26:00,6,12,6,8,0,4,5,7,-9,2,4,1,0,4,0,1,0,27.43333333,16.33643985
BALresults/27ot27T5.csvOsei B.DOU,BALresults/27ot27T5.csv,Osei B.,DOU,14,6,0,17:25,6,12,6,12,0,0,2,4,21,4,2,4,1,1,0,0,0,17.41666667,25.91230622
BALresults/27ot27T5.csvBoissy J.DOU,BALresults/27ot27T5.csv,Boissy J.,DOU,13,4,4,19:38,4,9,4,5,0,4,5,7,19,2,2,2,3,2,0,0,0,19.63333333,30.95674024
BALresults/27ot27T5.csvDiarra A.STA,BALresults/27ot27T5.csv,Diarra A.,STA,9,14,1,28:27:00,4,12,4,10,0,2,1,3,-8,7,7,4,2,4,3,1,0,28.45,13.70189807
BALresults/27ot27T5.csvKeita M.STA,BALresults/27ot27T5.csv,Keita M.,STA,9,2,4,23:58,3,11,0,4,3,7,0,0,0,0,2,2,4,0,0,2,0,23.96666667,18.7278025
BALresults/27ot27T5.csvNdiaye B.DOU,BALresults/27ot27T5.csv,Ndiaye B.,DOU,8,8,0,22:00,3,8,3,6,0,2,2,5,-5,2,6,1,0,1,2,2,0,22,12.23309091
BALresults/27ot27T5.csvOchereobia M.DOU,BALresults/27ot27T5.csv,Ochereobia M.,DOU,8,7,1,26:29:00,3,6,3,6,0,0,2,2,12,3,4,4,0,3,0,1,0,26.48333333,8.100868471
BALresults/27ot27T5.csvDiop M.DOU,BALresults/27ot27T5.csv,Diop M.,DOU,6,3,2,17:38,3,7,3,7,0,0,0,0,22,3,0,3,1,1,0,0,0,17.63333333,13.40483932
BALresults/27ot27T5.csvPare M.STA,BALresults/27ot27T5.csv,Pare M.,STA,6,3,1,12:49,3,6,3,6,0,0,0,0,10,2,1,4,2,3,0,1,0,12.81666667,11.33921977
BALresults/27ot27T5.csvChinyelu R.STA,BALresults/27ot27T5.csv,Chinyelu R.,STA,5,9,1,23:11,1,6,1,5,0,1,3,4,-11,4,5,3,2,1,1,0,0,23.18333333,13.67107117
BALresults/27ot27T5.csvKeita M.STA,BALresults/27ot27T5.csv,Keita M.,STA,4,1,2,26:44:00,2,4,2,4,0,0,0,0,-2,0,1,2,0,3,0,0,0,23.96666667,18.7278025
BALresults/27ot27T5.csvKonate T.STA,BALresults/27ot27T5.csv,Konate T.,STA,3,4,2,13:16,1,3,1,3,0,0,1,2,-14,2,2,1,0,5,0,0,0,13.26666667,-5.670376884
BALresults/27ot27T5.csvTraore N.STA,BALresults/27ot27T5.csv,Traore N.,STA,3,0,0,4:25,1,2,1,1,0,1,1,4,3,0,0,0,0,0,0,0,0,4.416666667,7.537811321
BALresults/27ot27T5.csvAmayo K.STA,BALresults/27ot27T5.csv,Amayo K.,STA,2,2,2,18:08,1,7,1,3,0,4,0,0,-18,0,2,1,0,0,0,0,0,18.13333333,-3.729926471
BALresults/27ot27T5.csvFall S. D.DOU,BALresults/27ot27T5.csv,Fall S. D.,DOU,2,4,0,25:39:00,1,3,1,2,0,1,0,0,-1,0,4,0,2,2,0,0,0,25.65,2.58705653
BALresults/27ot27T5.csvNdour A.DOU,BALresults/27ot27T5.csv,Ndour A.,DOU,2,2,5,20:22,1,2,1,2,0,0,0,2,-3,1,1,1,1,3,0,0,0,20.36666667,5.344615385
BALresults/27ot27T5.csvDiagne M.DOU,BALresults/27ot27T5.csv,Diagne M.,DOU,0,2,0,4:15,0,1,0,1,0,0,0,0,-1,0,2,0,0,0,0,0,0,4.25,-2.300235294
BALresults/27ot27T5.csvDienf M.DOU,BALresults/27ot27T5.csv,Dienf M.,DOU,0,1,0,0:35,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.583333333,-41.97085714
BALresults/27ot27T5.csvKamara A. C.DOU,BALresults/27ot27T5.csv,Kamara A. C.,DOU,0,0,0,0:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0
BALresults/27ot27T5.csvMaluach K.DOU,BALresults/27ot27T5.csv,Maluach K.,DOU,0,3,0,9:16,0,2,0,1,0,1,0,0,5,1,2,3,1,1,1,0,0,9.266666667,-2.385755396
BALresults/27ot27T5.csvSissouma B.STA,BALresults/27ot27T5.csv,Sissouma B.,STA,0,1,0,16:36,0,4,0,0,0,4,0,0,-22,0,1,0,2,2,1,0,0,16.6,-6.196566265
BALresults/27ot27T5.csvWilkins J. W.STA,BALresults/27ot27T5.csv,Wilkins J. W.,STA,0,0,0,5:00,0,1,0,0,0,1,0,0,-9,0,0,1,0,0,0,0,0,5,-11.2728
BALresults/2LQEG6ra.csvMiller D.SLA,BALresults/2LQEG6ra.csv,Miller D.,SLA,20,12,1,39:44:00,7,13,7,13,0,0,6,9,-8,1,11,2,5,3,0,1,0,39.73333333,22.5532802
BALresults/2LQEG6ra.csvGanapamo E.CAP,BALresults/2LQEG6ra.csv,Ganapamo E.,CAP,15,7,1,38:31:00,4,15,4,13,0,2,7,9,6,2,5,3,1,2,0,0,0,38.51666667,7.307382086
BALresults/2LQEG6ra.csvHall J.CAP,BALresults/2LQEG6ra.csv,Hall J.,CAP,15,8,1,32:34:00,5,14,4,10,1,4,4,8,10,1,7,3,0,4,0,0,0,32.56666667,4.462200614
BALresults/2LQEG6ra.csvCele S.CAP,BALresults/2LQEG6ra.csv,Cele S.,CAP,11,5,0,20:30,5,9,4,8,1,1,0,0,1,0,5,0,2,0,0,0,0,20.5,24.67687805
BALresults/2LQEG6ra.csvConde I.SLA,BALresults/2LQEG6ra.csv,Conde I.,SLA,11,12,1,28:53:00,3,11,3,10,0,1,5,5,-11,5,7,4,2,3,1,0,0,28.88333333,14.83928448
BALresults/2LQEG6ra.csvNwabuzor M.SLA,BALresults/2LQEG6ra.csv,Nwabuzor M.,SLA,11,5,3,36:52:00,4,12,3,7,1,5,2,2,-7,3,2,5,0,4,0,2,0,36.86666667,3.393960217
BALresults/2LQEG6ra.csvIroegbu U.SLA,BALresults/2LQEG6ra.csv,Iroegbu U.,SLA,10,3,1,34:33:00,4,13,2,6,2,7,0,2,-3,0,3,5,1,3,0,0,0,34.55,-1.754095514
BALresults/2LQEG6ra.csvWade Z.CAP,BALresults/2LQEG6ra.csv,Wade Z.,CAP,9,5,5,25:42:00,3,6,3,4,0,2,3,3,6,2,3,3,1,3,1,0,0,25.7,17.76089494
BALresults/2LQEG6ra.csvBarefield S.SLA,BALresults/2LQEG6ra.csv,Barefield S.,SLA,8,2,3,22:28,3,9,1,4,2,5,0,2,-1,0,2,1,2,1,0,1,0,22.46666667,11.39866469
BALresults/2LQEG6ra.csvGbinije M.CAP,BALresults/2LQEG6ra.csv,Gbinije M.,CAP,8,6,1,31:57:00,2,12,0,5,2,7,2,3,6,1,5,2,1,2,1,1,0,31.95,1.733333333
BALresults/2LQEG6ra.csvPrinsloo P.CAP,BALresults/2LQEG6ra.csv,Prinsloo P.,CAP,8,4,1,20:52,3,4,3,3,0,1,2,3,-1,3,1,3,0,0,1,0,0,20.86666667,21.41027157
BALresults/2LQEG6ra.csvSibanyoni N.CAP,BALresults/2LQEG6ra.csv,Sibanyoni N.,CAP,6,7,0,20:16,2,6,2,6,0,0,2,2,8,2,5,5,0,0,1,1,0,20.26666667,10.55847039
BALresults/2LQEG6ra.csvDoumbouya I.SLA,BALresults/2LQEG6ra.csv,Doumbouya I.,SLA,5,3,0,7:01,2,4,2,3,0,1,1,2,2,2,1,2,0,0,0,0,0,7.016666667,25.50114014
BALresults/2LQEG6ra.csvSelepe L.CAP,BALresults/2LQEG6ra.csv,Selepe L.,CAP,3,1,0,9:38,1,2,0,0,1,2,0,2,-1,0,1,1,2,1,0,0,0,9.633333333,11.39013841
BALresults/2LQEG6ra.csvFofana I.SLA,BALresults/2LQEG6ra.csv,Fofana I.,SLA,2,1,1,22:34,1,2,1,2,0,0,0,0,-4,0,1,3,0,1,1,0,0,22.56666667,1.323855244
BALresults/2LQEG6ra.csvMara M.SLA,BALresults/2LQEG6ra.csv,Mara M.,SLA,1,0,0,7:55,0,2,0,0,0,2,1,1,-3,0,0,3,0,0,0,0,0,7.916666667,-10.49141053
BALresults/2LQEG6ra.csvWhitbread D.CAP,BALresults/2LQEG6ra.csv,Whitbread D.,CAP,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!
BALresults/2XlXXBBo.csvDiarra A.STA,BALresults/2XlXXBBo.csv,Diarra A.,STA,25,12,2,28:04:00,11,18,11,17,0,1,3,8,-1,2,10,2,0,3,3,0,0,28.06666667,33.03188836
BALresults/2XlXXBBo.csvMorais C.PET,BALresults/2XlXXBBo.csv,Morais C.,PET,15,9,4,31:53:00,6,15,4,6,2,9,1,1,-12,2,7,3,2,3,0,0,0,31.88333333,16.5518139
BALresults/2XlXXBBo.csvKeita M.STA,BALresults/2XlXXBBo.csv,Keita M.,STA,8,5,5,26:15:00,2,7,0,4,2,3,2,4,11,1,4,2,3,2,0,0,0,26.25,16.1464381
BALresults/2XlXXBBo.csvMajok A.PET,BALresults/2XlXXBBo.csv,Majok A.,PET,8,8,0,18:16,3,6,3,6,0,0,2,2,8,0,8,2,0,3,1,0,0,18.26666667,10.65640511
BALresults/2XlXXBBo.csvBerthe S.STA,BALresults/2XlXXBBo.csv,Berthe S.,STA,7,3,5,24:30:00,2,11,1,5,1,6,2,4,2,0,3,2,3,3,0,0,0,24.5,4.389102041
BALresults/2XlXXBBo.csvBuiamba G.PET,BALresults/2XlXXBBo.csv,Buiamba G.,PET,7,3,0,10:38,3,5,3,4,0,1,1,1,0,0,3,1,0,1,0,0,0,10.63333333,18.73777429
BALresults/2XlXXBBo.csvKonate T.STA,BALresults/2XlXXBBo.csv,Konate T.,STA,7,0,0,11:21,3,6,2,4,1,2,0,0,-1,0,0,1,0,1,1,0,0,11.35,14.10008811
BALresults/2XlXXBBo.csvAmayo K.STA,BALresults/2XlXXBBo.csv,Amayo K.,STA,6,3,5,29:31:00,3,5,3,4,0,1,0,1,9,0,3,1,3,0,0,0,0,29.51666667,17.66059853
BALresults/2XlXXBBo.csvDiabate M.PET,BALresults/2XlXXBBo.csv,Diabate M.,PET,6,4,4,31:18:00,3,9,3,7,0,2,0,0,2,1,3,2,1,2,0,0,0,31.3,4.995654952
BALresults/2XlXXBBo.csvGakou A.PET,BALresults/2XlXXBBo.csv,Gakou A.,PET,6,6,0,25:41:00,2,5,1,1,1,4,1,1,-13,0,6,3,0,1,0,0,0,25.68333333,5.282608696
BALresults/2XlXXBBo.csvHollis D.PET,BALresults/2XlXXBBo.csv,Hollis D.,PET,6,3,1,16:53,2,7,2,7,0,0,2,2,0,1,2,1,2,6,0,0,0,16.88333333,-3.549121422
BALresults/2XlXXBBo.csvDomingos G.PET,BALresults/2XlXXBBo.csv,Domingos G.,PET,5,1,1,12:27,2,3,1,1,1,2,0,0,2,0,1,0,0,0,0,0,0,12.45,18.77678715
BALresults/2XlXXBBo.csvDundao C.PET,BALresults/2XlXXBBo.csv,Dundao C.,PET,5,1,1,19:56,1,6,0,2,1,4,2,2,-4,0,1,1,2,2,0,0,0,19.93333333,3.392157191
BALresults/2XlXXBBo.csvKeita M.STA,BALresults/2XlXXBBo.csv,Keita M.,STA,5,0,0,15:04,2,7,1,1,1,6,0,0,3,0,0,1,1,1,0,0,0,26.25,16.1464381
BALresults/2XlXXBBo.csvSissouma B.STA,BALresults/2XlXXBBo.csv,Sissouma B.,STA,5,4,3,17:58,2,8,1,1,1,7,0,0,-4,1,3,0,1,0,1,0,0,17.96666667,14.96471243
BALresults/2XlXXBBo.csvChinyelu R.STA,BALresults/2XlXXBBo.csv,Chinyelu R.,STA,4,9,1,19:14,2,5,2,5,0,0,0,0,20,1,8,1,2,0,0,0,0,19.23333333,17.49010399
BALresults/2XlXXBBo.csvPedro J.PET,BALresults/2XlXXBBo.csv,Pedro J.,PET,4,6,0,19:10,2,6,2,6,0,0,0,2,-11,1,5,4,0,1,0,0,0,19.16666667,-1.825565217
BALresults/2XlXXBBo.csvGoncalves L.PET,BALresults/2XlXXBBo.csv,Goncalves L.,PET,3,1,3,13:48,1,4,0,1,1,3,0,0,-12,0,1,1,1,5,0,0,0,13.8,-6.806304348
BALresults/2XlXXBBo.csvTraore N.STA,BALresults/2XlXXBBo.csv,Traore N.,STA,3,1,2,13:19,1,1,1,1,0,0,1,2,0,0,1,1,0,4,0,0,0,13.31666667,-2.706157697
BALresults/2XlXXBBo.csvWilkins J. W.STA,BALresults/2XlXXBBo.csv,Wilkins J. W.,STA,3,2,1,14:44,1,3,1,2,0,1,1,1,1,0,2,2,0,1,0,0,0,14.73333333,2.051199095
BALresults/4fd2hHWu.csvBoissy J.DOU,BALresults/4fd2hHWu.csv,Boissy J.,DOU,28,3,2,26:13:00,5,17,3,6,2,11,16,17,-1,3,0,4,3,2,1,0,0,26.21666667,38.27824539
BALresults/4fd2hHWu.csvCrawford C.DOU,BALresults/4fd2hHWu.csv,Crawford C.,DOU,26,7,3,38:02:00,8,16,5,6,3,10,7,7,6,0,7,4,2,4,1,0,0,38.03333333,24.36352323
BALresults/4fd2hHWu.csvHollis D.PET,BALresults/4fd2hHWu.csv,Hollis D.,PET,19,5,1,22:45,6,13,2,7,4,6,3,3,-3,1,4,2,0,1,0,0,0,22.75,27.83046154
BALresults/4fd2hHWu.csvGoncalves L.PET,BALresults/4fd2hHWu.csv,Goncalves L.,PET,17,3,2,30:58:00,6,7,3,3,3,4,2,4,-2,0,3,4,5,2,0,0,0,30.96666667,28.78963402
BALresults/4fd2hHWu.csvBryan-Amaning M.DOU,BALresults/4fd2hHWu.csv,Bryan-Amaning M.,DOU,14,6,0,29:41:00,6,6,4,4,2,2,0,1,7,1,5,3,3,2,0,0,0,29.68333333,24.05332959
BALresults/4fd2hHWu.csvPedro J.PET,BALresults/4fd2hHWu.csv,Pedro J.,PET,12,8,5,23:19,5,9,5,9,0,0,2,5,6,6,2,3,0,2,3,2,0,23.31666667,30.12437455
BALresults/4fd2hHWu.csvMajok A.PET,BALresults/4fd2hHWu.csv,Majok A.,PET,9,3,0,16:09,4,5,4,4,0,1,1,2,-10,1,2,3,0,3,0,0,0,16.15,11.55386997
BALresults/4fd2hHWu.csvDundao C.PET,BALresults/4fd2hHWu.csv,Dundao C.,PET,8,3,3,30:00:00,2,7,0,1,2,6,2,2,-3,0,3,3,2,5,0,0,0,30,3.600433333
BALresults/4fd2hHWu.csvDiabate M.PET,BALresults/4fd2hHWu.csv,Diabate M.,PET,7,4,5,22:13,1,7,0,4,1,3,4,4,-6,2,2,2,2,3,0,3,0,22.21666667,12.73102776
BALresults/4fd2hHWu.csvMaluach K.DOU,BALresults/4fd2hHWu.csv,Maluach K.,DOU,7,4,0,10:19,2,3,2,2,0,1,3,4,-1,2,2,1,0,3,1,0,0,10.31666667,21.44035541
BALresults/4fd2hHWu.csvNdour A.DOU,BALresults/4fd2hHWu.csv,Ndour A.,DOU,7,6,5,30:42:00,3,6,3,5,0,1,1,2,5,0,6,2,2,5,0,0,0,30.7,7.573355049
BALresults/4fd2hHWu.csvGakou A.PET,BALresults/4fd2hHWu.csv,Gakou A.,PET,6,2,0,17:15,2,6,0,0,2,6,0,0,-3,0,2,1,1,1,0,0,0,17.25,7.58342029
BALresults/4fd2hHWu.csvMorais C.PET,BALresults/4fd2hHWu.csv,Morais C.,PET,6,1,3,26:50:00,2,11,1,4,1,7,1,2,-2,0,1,3,0,4,0,0,0,26.83333333,-9.344757764
BALresults/4fd2hHWu.csvDiakhite A.DOU,BALresults/4fd2hHWu.csv,Diakhite A.,DOU,4,1,0,10:52,2,4,2,3,0,1,0,0,0,0,1,1,0,0,0,1,0,10.86666667,8.371748466
BALresults/4fd2hHWu.csvOchereobia M.DOU,BALresults/4fd2hHWu.csv,Ochereobia M.,DOU,3,4,1,17:15,1,2,1,2,0,0,1,2,3,3,1,3,0,1,0,1,0,17.25,7.826608696
BALresults/4fd2hHWu.csvDomingos G.PET,BALresults/4fd2hHWu.csv,Domingos G.,PET,2,0,2,2:42,1,1,1,1,0,0,0,0,4,0,0,1,0,1,0,0,0,2.7,31.18259259
BALresults/4fd2hHWu.csvFall S. D.DOU,BALresults/4fd2hHWu.csv,Fall S. D.,DOU,2,2,3,16:50,1,5,1,4,0,1,0,0,6,0,2,4,1,1,0,1,0,16.83333333,-0.362435644
BALresults/4fd2hHWu.csvDiagne M.DOU,BALresults/4fd2hHWu.csv,Diagne M.,DOU,1,3,1,11:53,0,1,0,1,0,0,1,2,3,1,2,3,0,0,2,0,0,11.88333333,9.904880785
BALresults/4fd2hHWu.csvBastos P.PET,BALresults/4fd2hHWu.csv,Bastos P.,PET,0,0,0,4:07,0,1,0,0,0,1,0,0,-5,0,0,0,0,0,0,0,0,4.116666667,-9.519838057
BALresults/4fd2hHWu.csvBuiamba G.PET,BALresults/4fd2hHWu.csv,Buiamba G.,PET,0,1,0,3:42,0,1,0,0,0,1,0,0,-6,0,1,0,0,0,0,0,0,3.7,-6.617027027
BALresults/4fd2hHWu.csvDiop M.DOU,BALresults/4fd2hHWu.csv,Diop M.,DOU,0,1,0,8:07,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,8.116666667,1.811950719
BALresults/4fd2hHWu.csvMaguet Diop P.DOU,BALresults/4fd2hHWu.csv,Maguet Diop P.,DOU,0,0,0,0:06,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0.1,0
BALresults/6N0csZhc.csvFiler A.REG,BALresults/6N0csZhc.csv,Filer A.,REG,26,1,9,38:08:00,9,19,6,10,3,9,5,5,-12,0,1,4,2,3,0,0,0,38.13333333,25.56799825
BALresults/6N0csZhc.csvSaleh E. A.ALA,BALresults/6N0csZhc.csv,Saleh E. A.,ALA,22,6,4,27:44:00,8,12,5,7,3,5,3,3,4,0,6,1,3,3,0,0,0,27.73333333,37.35944712
BALresults/6N0csZhc.csvOmot N.ALA,BALresults/6N0csZhc.csv,Omot N.,ALA,16,3,1,26:11:00,4,11,3,6,1,5,7,7,8,1,2,2,0,3,0,0,0,26.18333333,13.60499045
BALresults/6N0csZhc.csvMpoyo A.REG,BALresults/6N0csZhc.csv,Mpoyo A.,REG,15,2,0,35:45:00,4,6,0,1,4,5,3,4,-15,2,0,0,1,1,0,0,0,35.75,18.77236364
BALresults/6N0csZhc.csvThomas C.REG,BALresults/6N0csZhc.csv,Thomas C.,REG,15,5,7,38:23:00,5,14,4,6,1,8,4,5,-13,2,3,3,1,2,0,0,0,38.38333333,14.47782023
